Country,Authority,Measure,Year,Patents
Australia,United States Patent and Trademark Office,Patent applications,2022,886.33258
Australia,World Intellectual Property Organization,Patent applications,2023,1689.8301
Australia,World Intellectual Property Organization,Patent applications,2024,1701.3903
Austria,European Patent Office,Patent applications,2009,1737.0988
Austria,World Intellectual Property Organization,Patent applications,2009,1281.627
Austria,United States Patent and Trademark Office,Patent applications,2009,1301.8748
Austria,United States Patent and Trademark Office,Patent grants,2009,882.86682
Austria,European Patent Office,Patent applications,2010,1817.373
Austria,World Intellectual Property Organization,Patent applications,2010,1412.3823
Austria,United States Patent and Trademark Office,Patent applications,2010,1353.2274
Austria,United States Patent and Trademark Office,Patent grants,2010,984.75641
Austria,European Patent Office,Patent applications,2011,1857.8354
Austria,World Intellectual Property Organization,Patent applications,2011,1445.7849
Austria,United States Patent and Trademark Office,Patent applications,2011,1397.104
Austria,United States Patent and Trademark Office,Patent grants,2011,1053.1071
Austria,European Patent Office,Patent applications,2012,1941.0107
Austria,World Intellectual Property Organization,Patent applications,2012,1406.811
Austria,United States Patent and Trademark Office,Patent applications,2012,1572.5114
Austria,United States Patent and Trademark Office,Patent grants,2012,1200.7101
Austria,European Patent Office,Patent applications,2013,1986.2507
Austria,World Intellectual Property Organization,Patent applications,2013,1486.7599
Austria,United States Patent and Trademark Office,Patent applications,2013,1717.639
Austria,United States Patent and Trademark Office,Patent grants,2013,1378.1237
Austria,European Patent Office,Patent applications,2014,2075.4773
Austria,World Intellectual Property Organization,Patent applications,2014,1510.6371
Austria,United States Patent and Trademark Office,Patent applications,2014,1764.8083
Austria,United States Patent and Trademark Office,Patent grants,2014,1431.0313
Austria,European Patent Office,Patent applications,2015,2060.5791
Austria,World Intellectual Property Organization,Patent applications,2015,1543.8553
Austria,United States Patent and Trademark Office,Patent applications,2015,1774.9032
Austria,United States Patent and Trademark Office,Patent grants,2015,1464.3881
Austria,European Patent Office,Patent applications,2016,2109.0454
Austria,World Intellectual Property Organization,Patent applications,2016,1542.2069
Austria,United States Patent and Trademark Office,Patent applications,2016,1819.5134
Austria,United States Patent and Trademark Office,Patent grants,2016,1469.6699
Austria,European Patent Office,Patent applications,2017,2197.4827
Austria,World Intellectual Property Organization,Patent applications,2017,1612.275
Austria,United States Patent and Trademark Office,Patent applications,2017,1824.2429
Austria,United States Patent and Trademark Office,Patent grants,2017,1486.6044
Austria,European Patent Office,Patent applications,2018,2184.3
Austria,World Intellectual Property Organization,Patent applications,2018,1580.5026
Austria,United States Patent and Trademark Office,Patent applications,2018,1726.0548
Austria,United States Patent and Trademark Office,Patent grants,2018,1322.2522
Austria,European Patent Office,Patent applications,2019,2335.1118
Austria,World Intellectual Property Organization,Patent applications,2019,1583.804
Austria,United States Patent and Trademark Office,Patent applications,2019,1760.8469
Austria,United States Patent and Trademark Office,Patent grants,2019,1228.8234
Austria,European Patent Office,Patent applications,2020,2267.2346
Austria,World Intellectual Property Organization,Patent applications,2020,1589.0156
Austria,United States Patent and Trademark Office,Patent applications,2020,1689.1689
Austria,United States Patent and Trademark Office,Patent grants,2020,861.4574
Austria,European Patent Office,Patent applications,2021,2076.8032
Austria,World Intellectual Property Organization,Patent applications,2021,1514.8754
Austria,United States Patent and Trademark Office,Patent applications,2021,1528.3726
Austria,United States Patent and Trademark Office,Patent grants,2021,531.80359
Austria,European Patent Office,Patent applications,2022,1942.7205
Austria,World Intellectual Property Organization,Patent applications,2022,1572.6176
Austria,United States Patent and Trademark Office,Patent applications,2022,954.14008
Austria,World Intellectual Property Organization,Patent applications,2023,1557.9526
Austria,World Intellectual Property Organization,Patent applications,2024,1554.2888
Belgium,European Patent Office,Patent applications,2009,1495.9603
Belgium,European Patent Office,Patent grants,2009,853.71478
Belgium,World Intellectual Property Organization,Patent applications,2009,1144.4507
Belgium,United States Patent and Trademark Office,Patent applications,2009,1373.5903
Belgium,European Patent Office,Patent applications,2010,1585.9856
Belgium,European Patent Office,Patent grants,2010,939.00018
Belgium,World Intellectual Property Organization,Patent applications,2010,1255.2073
Belgium,United States Patent and Trademark Office,Patent applications,2010,1533.8658
Belgium,European Patent Office,Patent applications,2011,1612.6639
Belgium,European Patent Office,Patent grants,2011,973.64563
Belgium,World Intellectual Property Organization,Patent applications,2011,1264.7704
Belgium,United States Patent and Trademark Office,Patent applications,2011,1493.5448
Belgium,European Patent Office,Patent applications,2012,1594.7456
Belgium,European Patent Office,Patent grants,2012,994.19562
Belgium,World Intellectual Property Organization,Patent applications,2012,1203.2672
Belgium,United States Patent and Trademark Office,Patent applications,2012,1531.917
Belgium,European Patent Office,Patent applications,2013,1671.4818
Belgium,European Patent Office,Patent grants,2013,1063.7202
Belgium,World Intellectual Property Organization,Patent applications,2013,1238.6798
Belgium,United States Patent and Trademark Office,Patent applications,2013,1653.8699
Belgium,European Patent Office,Patent applications,2014,1717.3635
Belgium,European Patent Office,Patent grants,2014,1110.0159
Belgium,World Intellectual Property Organization,Patent applications,2014,1230.3397
Belgium,United States Patent and Trademark Office,Patent applications,2014,1601.1241
Belgium,European Patent Office,Patent applications,2015,1725.7352
Belgium,European Patent Office,Patent grants,2015,1074.9208
Belgium,World Intellectual Property Organization,Patent applications,2015,1230.5446
Belgium,United States Patent and Trademark Office,Patent applications,2015,1730.4763
Belgium,European Patent Office,Patent applications,2016,1816.2104
Belgium,European Patent Office,Patent grants,2016,1079.5535
Belgium,World Intellectual Property Organization,Patent applications,2016,1357.8573
Belgium,United States Patent and Trademark Office,Patent applications,2016,1728.6184
Belgium,European Patent Office,Patent applications,2017,1777.0789
Belgium,European Patent Office,Patent grants,2017,990.75531
Belgium,World Intellectual Property Organization,Patent applications,2017,1257.981
Belgium,United States Patent and Trademark Office,Patent applications,2017,1691.9063
Belgium,European Patent Office,Patent applications,2018,1819.8674
Belgium,European Patent Office,Patent grants,2018,920.34222
Belgium,World Intellectual Property Organization,Patent applications,2018,1300.0673
Belgium,United States Patent and Trademark Office,Patent applications,2018,1717.6848
Belgium,European Patent Office,Patent applications,2019,1745.0305
Belgium,European Patent Office,Patent grants,2019,739.15619
Belgium,World Intellectual Property Organization,Patent applications,2019,1299.6226
Belgium,United States Patent and Trademark Office,Patent applications,2019,1681.3733
Belgium,European Patent Office,Patent applications,2020,1878.5817
Belgium,European Patent Office,Patent grants,2020,634.00238
Belgium,World Intellectual Property Organization,Patent applications,2020,1397.6531
Belgium,United States Patent and Trademark Office,Patent applications,2020,1715.3159
Belgium,European Patent Office,Patent applications,2021,1827.8342
Belgium,European Patent Office,Patent grants,2021,404.34329
Belgium,World Intellectual Property Organization,Patent applications,2021,1339.1471
Belgium,United States Patent and Trademark Office,Patent applications,2021,1545.4751
Belgium,European Patent Office,Patent applications,2022,1649.165
Belgium,World Intellectual Property Organization,Patent applications,2022,1359.0671
Belgium,United States Patent and Trademark Office,Patent applications,2022,924.98712
Belgium,World Intellectual Property Organization,Patent applications,2023,1344.1597
Belgium,World Intellectual Property Organization,Patent applications,2024,1352.4001
Canada,European Patent Office,Patent applications,2009,2430.4832
Canada,European Patent Office,Patent grants,2009,1337.1274
Canada,United States Patent and Trademark Office,Patent applications,2009,7538.8169
Canada,United States Patent and Trademark Office,Patent grants,2009,5231.3735
Canada,European Patent Office,Patent applications,2010,2507.0715
Canada,European Patent Office,Patent grants,2010,1341.9713
Canada,United States Patent and Trademark Office,Patent applications,2010,8135.8623
Canada,United States Patent and Trademark Office,Patent grants,2010,5563.2002
Canada,European Patent Office,Patent applications,2011,2422.98
Canada,European Patent Office,Patent grants,2011,1318.3408
Canada,United States Patent and Trademark Office,Patent applications,2011,8423.4766
Canada,United States Patent and Trademark Office,Patent grants,2011,5957.9468
Canada,European Patent Office,Patent applications,2012,2523.8413
Canada,European Patent Office,Patent grants,2012,1492.4025
Canada,United States Patent and Trademark Office,Patent applications,2012,9094.0234
Canada,United States Patent and Trademark Office,Patent grants,2012,6610.9341
Canada,European Patent Office,Patent applications,2013,2561.9534
Canada,European Patent Office,Patent grants,2013,1508.864
Canada,United States Patent and Trademark Office,Patent applications,2013,9092.2021
Canada,United States Patent and Trademark Office,Patent grants,2013,6672.0933
Canada,European Patent Office,Patent applications,2014,2093.071
Canada,European Patent Office,Patent grants,2014,1292.4863
Canada,United States Patent and Trademark Office,Patent applications,2014,8555.6963
Canada,United States Patent and Trademark Office,Patent grants,2014,6279.3926
Canada,European Patent Office,Patent applications,2015,2090.1292
Canada,European Patent Office,Patent grants,2015,1278.7454
Canada,United States Patent and Trademark Office,Patent applications,2015,8442.7705
Canada,United States Patent and Trademark Office,Patent grants,2015,6492.0088
Canada,European Patent Office,Patent applications,2016,2214.459
Canada,European Patent Office,Patent grants,2016,1217.9478
Canada,United States Patent and Trademark Office,Patent applications,2016,8340.1465
Canada,United States Patent and Trademark Office,Patent grants,2016,6514.3779
Canada,European Patent Office,Patent applications,2017,2101.9658
Canada,European Patent Office,Patent grants,2017,1020.5115
Canada,United States Patent and Trademark Office,Patent applications,2017,8427.7002
Canada,United States Patent and Trademark Office,Patent grants,2017,6550.6558
Canada,European Patent Office,Patent applications,2018,2369.0237
Canada,European Patent Office,Patent grants,2018,889.15167
Canada,United States Patent and Trademark Office,Patent applications,2018,8584.585
Canada,United States Patent and Trademark Office,Patent grants,2018,6313.1089
Canada,European Patent Office,Patent applications,2019,2357.0811
Canada,European Patent Office,Patent grants,2019,697.67499
Canada,United States Patent and Trademark Office,Patent applications,2019,8233.5898
Canada,United States Patent and Trademark Office,Patent grants,2019,5878.0103
Canada,European Patent Office,Patent applications,2020,2403.9861
Canada,European Patent Office,Patent grants,2020,407.18039
Canada,United States Patent and Trademark Office,Patent applications,2020,7547.5693
Canada,United States Patent and Trademark Office,Patent grants,2020,4693.3057
Canada,European Patent Office,Patent applications,2021,2444.084
Canada,European Patent Office,Patent grants,2021,267.73251
Canada,United States Patent and Trademark Office,Patent applications,2021,7468.52
Canada,United States Patent and Trademark Office,Patent grants,2021,3749.5115
Canada,European Patent Office,Patent applications,2022,2064.3301
Canada,United States Patent and Trademark Office,Patent applications,2022,5495.8433
Chile,European Patent Office,Patent applications,2009,47.303001
Chile,European Patent Office,Patent grants,2009,25.302999
Chile,World Intellectual Property Organization,Patent applications,2009,88.752998
Chile,United States Patent and Trademark Office,Patent applications,2009,98.192596
Chile,United States Patent and Trademark Office,Patent grants,2009,61.488602
Chile,European Patent Office,Patent applications,2010,49.633301
Chile,European Patent Office,Patent grants,2010,26.15
Chile,World Intellectual Property Organization,Patent applications,2010,118.11429
Chile,United States Patent and Trademark Office,Patent applications,2010,88.790497
Chile,United States Patent and Trademark Office,Patent grants,2010,54.009499
Chile,European Patent Office,Patent applications,2011,57.772999
Chile,European Patent Office,Patent grants,2011,29.463499
Chile,World Intellectual Property Organization,Patent applications,2011,130.27803
Chile,United States Patent and Trademark Office,Patent applications,2011,87.5849
Chile,United States Patent and Trademark Office,Patent grants,2011,54.3587
Chile,European Patent Office,Patent applications,2012,31.1679
Chile,European Patent Office,Patent grants,2012,17.299999
Chile,World Intellectual Property Organization,Patent applications,2012,120.26218
Chile,United States Patent and Trademark Office,Patent applications,2012,82.508301
Chile,United States Patent and Trademark Office,Patent grants,2012,40.681
Chile,European Patent Office,Patent applications,2013,51.959499
Chile,European Patent Office,Patent grants,2013,31.4167
Chile,World Intellectual Property Organization,Patent applications,2013,145.82619
Chile,United States Patent and Trademark Office,Patent applications,2013,102.8429
Chile,United States Patent and Trademark Office,Patent grants,2013,57.197601
Chile,European Patent Office,Patent applications,2014,43.458302
Chile,European Patent Office,Patent grants,2014,16.5833
Chile,World Intellectual Property Organization,Patent applications,2014,169.97263
Chile,United States Patent and Trademark Office,Patent applications,2014,99.098503
Chile,United States Patent and Trademark Office,Patent grants,2014,56.405602
Chile,European Patent Office,Patent applications,2015,59.174999
Chile,European Patent Office,Patent grants,2015,33.083302
Chile,World Intellectual Property Organization,Patent applications,2015,185.60834
Chile,United States Patent and Trademark Office,Patent applications,2015,113.7498
Chile,United States Patent and Trademark Office,Patent grants,2015,81.816498
Chile,European Patent Office,Patent applications,2016,58.5
Chile,European Patent Office,Patent grants,2016,26.4167
Chile,World Intellectual Property Organization,Patent applications,2016,156.70833
Chile,United States Patent and Trademark Office,Patent applications,2016,101.7024
Chile,United States Patent and Trademark Office,Patent grants,2016,61.309502
Chile,European Patent Office,Patent applications,2017,37.575001
Chile,European Patent Office,Patent grants,2017,14.9
Chile,World Intellectual Property Organization,Patent applications,2017,174.15356
Chile,United States Patent and Trademark Office,Patent applications,2017,96.851402
Chile,United States Patent and Trademark Office,Patent grants,2017,48.095501
Chile,European Patent Office,Patent applications,2018,53.411098
Chile,European Patent Office,Patent grants,2018,16.733299
Chile,World Intellectual Property Organization,Patent applications,2018,210.82063
Chile,United States Patent and Trademark Office,Patent applications,2018,115.2706
Chile,United States Patent and Trademark Office,Patent grants,2018,80.442902
Chile,European Patent Office,Patent applications,2019,54.799999
Chile,European Patent Office,Patent grants,2019,6.9166999
Chile,World Intellectual Property Organization,Patent applications,2019,216.825
Chile,United States Patent and Trademark Office,Patent applications,2019,111.4575
Chile,United States Patent and Trademark Office,Patent grants,2019,53.5
Chile,European Patent Office,Patent applications,2020,44.584499
Chile,European Patent Office,Patent grants,2020,4.6999998
Chile,World Intellectual Property Organization,Patent applications,2020,201.35281
Chile,United States Patent and Trademark Office,Patent applications,2020,91.881798
Chile,United States Patent and Trademark Office,Patent grants,2020,30.258301
Chile,European Patent Office,Patent applications,2021,48.337299
Chile,European Patent Office,Patent grants,2021,6.0
Chile,World Intellectual Property Organization,Patent applications,2021,171.06709
Chile,United States Patent and Trademark Office,Patent applications,2021,96.460701
Chile,United States Patent and Trademark Office,Patent grants,2021,25.5758
Chile,European Patent Office,Patent applications,2022,38.0667
Chile,World Intellectual Property Organization,Patent applications,2022,162.09723
Chile,United States Patent and Trademark Office,Patent applications,2022,62.342899
Chile,World Intellectual Property Organization,Patent applications,2023,158.81522
Chile,World Intellectual Property Organization,Patent applications,2024,164.5524
Colombia,European Patent Office,Patent applications,2009,15.7083
Colombia,World Intellectual Property Organization,Patent applications,2009,58.267857
Colombia,United States Patent and Trademark Office,Patent applications,2009,39.916698
Colombia,United States Patent and Trademark Office,Patent grants,2009,17.75
Colombia,European Patent Office,Patent applications,2010,13.7909
Colombia,World Intellectual Property Organization,Patent applications,2010,53.949242
Colombia,United States Patent and Trademark Office,Patent applications,2010,48.190899
Colombia,United States Patent and Trademark Office,Patent grants,2010,29.016701
Colombia,European Patent Office,Patent applications,2011,22.9762
Colombia,World Intellectual Property Organization,Patent applications,2011,74.801193
Colombia,United States Patent and Trademark Office,Patent applications,2011,45.491699
Colombia,United States Patent and Trademark Office,Patent grants,2011,18.983299
Colombia,European Patent Office,Patent applications,2012,27.575001
Colombia,World Intellectual Property Organization,Patent applications,2012,80.914284
Colombia,United States Patent and Trademark Office,Patent applications,2012,58.335701
Colombia,United States Patent and Trademark Office,Patent grants,2012,37.657101
Colombia,European Patent Office,Patent applications,2013,21.467899
Colombia,World Intellectual Property Organization,Patent applications,2013,110.0746
Colombia,United States Patent and Trademark Office,Patent applications,2013,73.730202
Colombia,United States Patent and Trademark Office,Patent grants,2013,35.3857
Colombia,European Patent Office,Patent applications,2014,20.319
Colombia,World Intellectual Property Organization,Patent applications,2014,90.219048
Colombia,United States Patent and Trademark Office,Patent applications,2014,60.319
Colombia,United States Patent and Trademark Office,Patent grants,2014,38.519001
Colombia,European Patent Office,Patent applications,2015,26.133301
Colombia,World Intellectual Property Organization,Patent applications,2015,87.76667
Colombia,United States Patent and Trademark Office,Patent applications,2015,62.549999
Colombia,United States Patent and Trademark Office,Patent grants,2015,40.200001
Colombia,European Patent Office,Patent applications,2016,17.3944
Colombia,World Intellectual Property Organization,Patent applications,2016,119.29127
Colombia,United States Patent and Trademark Office,Patent applications,2016,70.004601
Colombia,United States Patent and Trademark Office,Patent grants,2016,43.887901
Colombia,European Patent Office,Patent applications,2017,19.016701
Colombia,World Intellectual Property Organization,Patent applications,2017,141.38809
Colombia,United States Patent and Trademark Office,Patent applications,2017,74.439301
Colombia,United States Patent and Trademark Office,Patent grants,2017,37.240501
Colombia,European Patent Office,Patent applications,2018,25.0786
Colombia,World Intellectual Property Organization,Patent applications,2018,130.63928
Colombia,United States Patent and Trademark Office,Patent applications,2018,79.761902
Colombia,United States Patent and Trademark Office,Patent grants,2018,47.809502
Colombia,European Patent Office,Patent applications,2019,19.5944
Colombia,World Intellectual Property Organization,Patent applications,2019,127.06111
Colombia,United States Patent and Trademark Office,Patent applications,2019,93.352699
Colombia,United States Patent and Trademark Office,Patent grants,2019,52.874298
Colombia,European Patent Office,Patent applications,2020,13.8236
Colombia,World Intellectual Property Organization,Patent applications,2020,91.559326
Colombia,United States Patent and Trademark Office,Patent applications,2020,56.859299
Colombia,United States Patent and Trademark Office,Patent grants,2020,29.366699
Colombia,European Patent Office,Patent applications,2021,17.124201
Colombia,World Intellectual Property Organization,Patent applications,2021,116.33257
Colombia,United States Patent and Trademark Office,Patent applications,2021,57.6021
Colombia,United States Patent and Trademark Office,Patent grants,2021,18.2516
Colombia,European Patent Office,Patent applications,2022,15.825
Colombia,World Intellectual Property Organization,Patent applications,2022,117.70834
Colombia,United States Patent and Trademark Office,Patent applications,2022,33.098301
Colombia,World Intellectual Property Organization,Patent applications,2023,100.4297
Colombia,World Intellectual Property Organization,Patent applications,2024,111.8846
Costa Rica,European Patent Office,Patent applications,2009,1.7714
Costa Rica,European Patent Office,Patent grants,2009,0.2
Costa Rica,World Intellectual Property Organization,Patent applications,2009,7.9380951
Costa Rica,United States Patent and Trademark Office,Patent applications,2009,12.8
Costa Rica,European Patent Office,Patent applications,2010,2.5833001
Costa Rica,European Patent Office,Patent grants,2010,0.33329999
Costa Rica,World Intellectual Property Organization,Patent applications,2010,8.6236267
Costa Rica,United States Patent and Trademark Office,Patent applications,2010,16.1667
Costa Rica,European Patent Office,Patent applications,2011,1.8214
Costa Rica,European Patent Office,Patent grants,2011,1.25
Costa Rica,World Intellectual Property Organization,Patent applications,2011,3.6964285
Costa Rica,United States Patent and Trademark Office,Patent applications,2011,12.9798
Costa Rica,European Patent Office,Patent applications,2012,9.9254999
Costa Rica,European Patent Office,Patent grants,2012,3.4254999
Costa Rica,World Intellectual Property Organization,Patent applications,2012,9.0921564
Costa Rica,United States Patent and Trademark Office,Patent applications,2012,21.0422
Costa Rica,European Patent Office,Patent applications,2013,3.1500001
Costa Rica,European Patent Office,Patent grants,2013,2.5
Costa Rica,World Intellectual Property Organization,Patent applications,2013,13.472222
Costa Rica,United States Patent and Trademark Office,Patent applications,2013,25.1
Costa Rica,European Patent Office,Patent applications,2014,2.5444
Costa Rica,European Patent Office,Patent grants,2014,2.4444001
Costa Rica,World Intellectual Property Organization,Patent applications,2014,13.461111
Costa Rica,United States Patent and Trademark Office,Patent applications,2014,18.694401
Costa Rica,European Patent Office,Patent applications,2015,3.7
Costa Rica,European Patent Office,Patent grants,2015,0.33329999
Costa Rica,World Intellectual Property Organization,Patent applications,2015,22.700001
Costa Rica,United States Patent and Trademark Office,Patent applications,2015,24.983299
Costa Rica,European Patent Office,Patent applications,2016,6.0714002
Costa Rica,European Patent Office,Patent grants,2016,2.6071
Costa Rica,World Intellectual Property Organization,Patent applications,2016,12.420635
Costa Rica,United States Patent and Trademark Office,Patent applications,2016,35.922199
Costa Rica,European Patent Office,Patent applications,2017,3.1528001
Costa Rica,European Patent Office,Patent grants,2017,1.2917
Costa Rica,World Intellectual Property Organization,Patent applications,2017,19.852777
Costa Rica,United States Patent and Trademark Office,Patent applications,2017,34.7663
Costa Rica,European Patent Office,Patent applications,2018,15.4282
Costa Rica,European Patent Office,Patent grants,2018,6.1027999
Costa Rica,World Intellectual Property Organization,Patent applications,2018,12.764286
Costa Rica,United States Patent and Trademark Office,Patent applications,2018,60.033001
Costa Rica,European Patent Office,Patent applications,2019,12.5159
Costa Rica,European Patent Office,Patent grants,2019,5.4721999
Costa Rica,World Intellectual Property Organization,Patent applications,2019,17.832541
Costa Rica,United States Patent and Trademark Office,Patent applications,2019,54.188099
Costa Rica,European Patent Office,Patent applications,2020,15.3262
Costa Rica,European Patent Office,Patent grants,2020,2.3333001
Costa Rica,World Intellectual Property Organization,Patent applications,2020,17.909523
Costa Rica,United States Patent and Trademark Office,Patent applications,2020,50.770599
Costa Rica,European Patent Office,Patent applications,2021,6.7679
Costa Rica,European Patent Office,Patent grants,2021,1.5
Costa Rica,World Intellectual Property Organization,Patent applications,2021,8.8587666
Costa Rica,United States Patent and Trademark Office,Patent applications,2021,39.826599
Costa Rica,European Patent Office,Patent applications,2022,13.069
Costa Rica,World Intellectual Property Organization,Patent applications,2022,16.75238
Costa Rica,United States Patent and Trademark Office,Patent applications,2022,28.8302
Costa Rica,World Intellectual Property Organization,Patent applications,2023,13.728716
Costa Rica,World Intellectual Property Organization,Patent applications,2024,13.186681
Czechia,European Patent Office,Patent applications,2009,179.129
Czechia,European Patent Office,Patent grants,2009,92.096802
Czechia,World Intellectual Property Organization,Patent applications,2009,179.02658
Czechia,United States Patent and Trademark Office,Patent applications,2009,205.0125
Czechia,United States Patent and Trademark Office,Patent grants,2009,127.7415
Czechia,European Patent Office,Patent applications,2010,197.0179
Czechia,European Patent Office,Patent grants,2010,110.7762
Czechia,World Intellectual Property Organization,Patent applications,2010,153.39034
Czechia,United States Patent and Trademark Office,Patent applications,2010,180.39211
Czechia,United States Patent and Trademark Office,Patent grants,2010,138.1897
Czechia,European Patent Office,Patent applications,2011,233.1095
Czechia,European Patent Office,Patent grants,2011,150.7345
Czechia,World Intellectual Property Organization,Patent applications,2011,194.99762
Czechia,United States Patent and Trademark Office,Patent applications,2011,249.5567
Czechia,United States Patent and Trademark Office,Patent grants,2011,177.2964
Czechia,European Patent Office,Patent applications,2012,238.6205
Czechia,European Patent Office,Patent grants,2012,156.95821
Czechia,World Intellectual Property Organization,Patent applications,2012,217.74748
Czechia,United States Patent and Trademark Office,Patent applications,2012,246.1817
Czechia,United States Patent and Trademark Office,Patent grants,2012,177.0844
Czechia,European Patent Office,Patent applications,2013,270.42929
Czechia,European Patent Office,Patent grants,2013,180.4521
Czechia,World Intellectual Property Organization,Patent applications,2013,255.68419
Czechia,United States Patent and Trademark Office,Patent applications,2013,323.68079
Czechia,United States Patent and Trademark Office,Patent grants,2013,262.25461
Czechia,European Patent Office,Patent applications,2014,288.27631
Czechia,European Patent Office,Patent grants,2014,198.4337
Czechia,World Intellectual Property Organization,Patent applications,2014,269.15198
Czechia,United States Patent and Trademark Office,Patent applications,2014,400.4566
Czechia,United States Patent and Trademark Office,Patent grants,2014,317.93399
Czechia,European Patent Office,Patent applications,2015,300.72229
Czechia,European Patent Office,Patent grants,2015,185.11279
Czechia,World Intellectual Property Organization,Patent applications,2015,259.87439
Czechia,United States Patent and Trademark Office,Patent applications,2015,362.2811
Czechia,United States Patent and Trademark Office,Patent grants,2015,300.92151
Czechia,European Patent Office,Patent applications,2016,270.98291
Czechia,European Patent Office,Patent grants,2016,176.1214
Czechia,World Intellectual Property Organization,Patent applications,2016,228.48407
Czechia,United States Patent and Trademark Office,Patent applications,2016,405.7829
Czechia,United States Patent and Trademark Office,Patent grants,2016,326.05951
Czechia,European Patent Office,Patent applications,2017,280.78851
Czechia,European Patent Office,Patent grants,2017,166.97031
Czechia,World Intellectual Property Organization,Patent applications,2017,223.77731
Czechia,United States Patent and Trademark Office,Patent applications,2017,385.8566
Czechia,United States Patent and Trademark Office,Patent grants,2017,314.86661
Czechia,European Patent Office,Patent applications,2018,272.11169
Czechia,European Patent Office,Patent grants,2018,152.2962
Czechia,World Intellectual Property Organization,Patent applications,2018,215.66527
Czechia,United States Patent and Trademark Office,Patent applications,2018,338.91061
Czechia,United States Patent and Trademark Office,Patent grants,2018,261.73199
Czechia,European Patent Office,Patent applications,2019,305.63489
