Measure,Unit,Year,Value
Support based on commodity output,"US dollar, Millions",2022,66344.7309
Support based on commodity output,"US dollar, Millions",2023,87704.9908
Support based on commodity output,"US dollar, Millions",2024,97169.4979
Support based on commodity output,"National currency, Millions",2013,112467.4582
Support based on commodity output,"National currency, Millions",2014,98758.0397
Support based on commodity output,"National currency, Millions",2015,95752.759
Support based on commodity output,"National currency, Millions",2016,98463.6929
Support based on commodity output,"National currency, Millions",2017,100385.0274
Support based on commodity output,"National currency, Millions",2018,107099.3609
Support based on commodity output,"National currency, Millions",2019,96483.4734
Support based on commodity output,"National currency, Millions",2020,98669.8808
Support based on commodity output,"National currency, Millions",2021,85593.3525
Support based on commodity output,"National currency, Millions",2022,66344.7309
Support based on commodity output,"National currency, Millions",2023,87704.9908
Support based on commodity output,"National currency, Millions",2024,97169.4979
Market Price Support (MPS),"Euro, Millions",2013,80444.3992
Market Price Support (MPS),"Euro, Millions",2014,70537.6965
Market Price Support (MPS),"Euro, Millions",2015,82683.858
Market Price Support (MPS),"Euro, Millions",2016,85590.3414
Market Price Support (MPS),"Euro, Millions",2017,85602.782
Market Price Support (MPS),"Euro, Millions",2018,80296.3494
Market Price Support (MPS),"Euro, Millions",2019,82591.5315
Market Price Support (MPS),"Euro, Millions",2020,76782.377
Market Price Support (MPS),"Euro, Millions",2021,67891.7494
Market Price Support (MPS),"Euro, Millions",2022,59613.3439
Market Price Support (MPS),"Euro, Millions",2023,78214.981
Market Price Support (MPS),"Euro, Millions",2024,85949.6967
Market Price Support (MPS),"US dollar, Millions",2013,106839.6751
Market Price Support (MPS),"US dollar, Millions",2014,93709.4096
Market Price Support (MPS),"US dollar, Millions",2015,91738.8494
Market Price Support (MPS),"US dollar, Millions",2016,94740.261
Market Price Support (MPS),"US dollar, Millions",2017,96703.7977
Market Price Support (MPS),"US dollar, Millions",2018,94826.2987
Market Price Support (MPS),"US dollar, Millions",2019,92459.1409
Market Price Support (MPS),"US dollar, Millions",2020,87700.572
Market Price Support (MPS),"US dollar, Millions",2021,80298.3219
Market Price Support (MPS),"US dollar, Millions",2022,62775.7343
Market Price Support (MPS),"US dollar, Millions",2023,84571.3647
Market Price Support (MPS),"US dollar, Millions",2024,93030.2273
Market Price Support (MPS),"National currency, Millions",2013,106839.6751
Market Price Support (MPS),"National currency, Millions",2014,93709.4096
Market Price Support (MPS),"National currency, Millions",2015,91738.8494
Market Price Support (MPS),"National currency, Millions",2016,94740.261
Market Price Support (MPS),"National currency, Millions",2017,96703.7977
Market Price Support (MPS),"National currency, Millions",2018,94826.2987
Market Price Support (MPS),"National currency, Millions",2019,92459.1409
Market Price Support (MPS),"National currency, Millions",2020,87700.572
Market Price Support (MPS),"National currency, Millions",2021,80298.3219
Market Price Support (MPS),"National currency, Millions",2022,62775.7343
Market Price Support (MPS),"National currency, Millions",2023,84571.3647
Market Price Support (MPS),"National currency, Millions",2024,93030.2273
Positive Market Price Support,"Euro, Millions",2013,80544.9643
Positive Market Price Support,"Euro, Millions",2014,70869.4088
Positive Market Price Support,"Euro, Millions",2015,82992.9185
Positive Market Price Support,"Euro, Millions",2016,85784.2829
Positive Market Price Support,"Euro, Millions",2017,85973.9635
Positive Market Price Support,"Euro, Millions",2018,80502.2424
Positive Market Price Support,"Euro, Millions",2019,82912.2581
Positive Market Price Support,"Euro, Millions",2020,76825.3519
Positive Market Price Support,"Euro, Millions",2021,67915.0619
Positive Market Price Support,"Euro, Millions",2022,59755.194
Positive Market Price Support,"Euro, Millions",2023,78406.7997
Positive Market Price Support,"Euro, Millions",2024,86748.6924
Positive Market Price Support,"US dollar, Millions",2013,106973.2375
Positive Market Price Support,"US dollar, Millions",2014,94150.0898
Positive Market Price Support,"US dollar, Millions",2015,92081.7562
Positive Market Price Support,"US dollar, Millions",2016,94954.9356
Positive Market Price Support,"US dollar, Millions",2017,97123.1143
Positive Market Price Support,"US dollar, Millions",2018,95069.4488
Positive Market Price Support,"US dollar, Millions",2019,92818.1862
Positive Market Price Support,"US dollar, Millions",2020,87749.6578
Positive Market Price Support,"US dollar, Millions",2021,80325.8946
Positive Market Price Support,"US dollar, Millions",2022,62925.1093
Positive Market Price Support,"US dollar, Millions",2023,84778.7722
Positive Market Price Support,"US dollar, Millions",2024,93895.0442
Positive Market Price Support,"National currency, Millions",2013,106973.2375
Positive Market Price Support,"National currency, Millions",2014,94150.0898
Positive Market Price Support,"National currency, Millions",2015,92081.7562
Positive Market Price Support,"National currency, Millions",2016,94954.9356
Positive Market Price Support,"National currency, Millions",2017,97123.1143
Positive Market Price Support,"National currency, Millions",2018,95069.4488
Positive Market Price Support,"National currency, Millions",2019,92818.1862
Positive Market Price Support,"National currency, Millions",2020,87749.6578
Positive Market Price Support,"National currency, Millions",2021,80325.8946
Positive Market Price Support,"National currency, Millions",2022,62925.1093
Positive Market Price Support,"National currency, Millions",2023,84778.7722
Positive Market Price Support,"National currency, Millions",2024,93895.0442
Negative Market Price Support,"Euro, Millions",2013,-100.5651
Negative Market Price Support,"Euro, Millions",2014,-331.7123
Negative Market Price Support,"Euro, Millions",2015,-309.0605
Negative Market Price Support,"Euro, Millions",2016,-193.9416
Negative Market Price Support,"Euro, Millions",2017,-371.1816
Negative Market Price Support,"Euro, Millions",2018,-205.893
Negative Market Price Support,"Euro, Millions",2019,-320.7265
Negative Market Price Support,"Euro, Millions",2020,-42.9749
Negative Market Price Support,"Euro, Millions",2021,-23.3125
Negative Market Price Support,"Euro, Millions",2022,-141.8501
Negative Market Price Support,"Euro, Millions",2023,-191.8187
Negative Market Price Support,"Euro, Millions",2024,-798.9957
Negative Market Price Support,"US dollar, Millions",2013,-133.5624
Negative Market Price Support,"US dollar, Millions",2014,-440.6802
Negative Market Price Support,"US dollar, Millions",2015,-342.9067
Negative Market Price Support,"US dollar, Millions",2016,-214.6746
Negative Market Price Support,"US dollar, Millions",2017,-419.3166
Negative Market Price Support,"US dollar, Millions",2018,-243.1502
Negative Market Price Support,"US dollar, Millions",2019,-359.0453
Negative Market Price Support,"US dollar, Millions",2020,-49.0858
Negative Market Price Support,"US dollar, Millions",2021,-27.5727
Negative Market Price Support,"US dollar, Millions",2022,-149.375
Negative Market Price Support,"US dollar, Millions",2023,-207.4075
Negative Market Price Support,"US dollar, Millions",2024,-864.8169
Negative Market Price Support,"National currency, Millions",2013,-133.5624
Negative Market Price Support,"National currency, Millions",2014,-440.6802
Negative Market Price Support,"National currency, Millions",2015,-342.9067
Negative Market Price Support,"National currency, Millions",2016,-214.6746
Negative Market Price Support,"National currency, Millions",2017,-419.3166
Negative Market Price Support,"National currency, Millions",2018,-243.1502
Negative Market Price Support,"National currency, Millions",2019,-359.0453
Negative Market Price Support,"National currency, Millions",2020,-49.0858
Negative Market Price Support,"National currency, Millions",2021,-27.5727
Negative Market Price Support,"National currency, Millions",2022,-149.375
Negative Market Price Support,"National currency, Millions",2023,-207.4075
Negative Market Price Support,"National currency, Millions",2024,-864.8169
Payments based on output,"Euro, Millions",2013,4237.4111
Payments based on output,"Euro, Millions",2014,3800.2452
Payments based on output,"Euro, Millions",2015,3617.7206
Payments based on output,"Euro, Millions",2016,3363.8266
Payments based on output,"Euro, Millions",2017,3258.6466
Payments based on output,"Euro, Millions",2018,10392.4978
Payments based on output,"Euro, Millions",2019,3594.8397
Payments based on output,"Euro, Millions",2020,9603.6957
Payments based on output,"Euro, Millions",2021,4476.9166
Payments based on output,"Euro, Millions",2022,3389.2049
Payments based on output,"Euro, Millions",2023,2898.1027
Payments based on output,"Euro, Millions",2024,3824.2308
Payments based on output,"US dollar, Millions",2013,5627.7831
Payments based on output,"US dollar, Millions",2014,5048.6301
Payments based on output,"US dollar, Millions",2015,4013.9095
Payments based on output,"US dollar, Millions",2016,3723.4319
Payments based on output,"US dollar, Millions",2017,3681.2297
Payments based on output,"US dollar, Millions",2018,12273.0623
Payments based on output,"US dollar, Millions",2019,4024.3325
Payments based on output,"US dollar, Millions",2020,10969.3088
Payments based on output,"US dollar, Millions",2021,5295.0306
Payments based on output,"US dollar, Millions",2022,3568.9966
Payments based on output,"US dollar, Millions",2023,3133.6261
Payments based on output,"US dollar, Millions",2024,4139.2707
Payments based on output,"National currency, Millions",2013,5627.7831
Payments based on output,"National currency, Millions",2014,5048.6301
Payments based on output,"National currency, Millions",2015,4013.9095
Payments based on output,"National currency, Millions",2016,3723.4319
Payments based on output,"National currency, Millions",2017,3681.2297
Payments based on output,"National currency, Millions",2018,12273.0623
Payments based on output,"National currency, Millions",2019,4024.3325
Payments based on output,"National currency, Millions",2020,10969.3088
Payments based on output,"National currency, Millions",2021,5295.0306
Payments based on output,"National currency, Millions",2022,3568.9966
Payments based on output,"National currency, Millions",2023,3133.6261
Payments based on output,"National currency, Millions",2024,4139.2707
Payments based on input use,"Euro, Millions",2013,24824.2519
Payments based on input use,"Euro, Millions",2014,24166.9073
Payments based on input use,"Euro, Millions",2015,26204.107
Payments based on input use,"Euro, Millions",2016,23919.8515
Payments based on input use,"Euro, Millions",2017,23743.6051
Payments based on input use,"Euro, Millions",2018,25012.0038
Payments based on input use,"Euro, Millions",2019,25514.5085
Payments based on input use,"Euro, Millions",2020,30209.7716
Payments based on input use,"Euro, Millions",2021,25133.9408
Payments based on input use,"Euro, Millions",2022,31600.4947
Payments based on input use,"Euro, Millions",2023,34460.3944
Payments based on input use,"Euro, Millions",2024,34434.9844
Payments based on input use,"US dollar, Millions",2013,32969.5422
Payments based on input use,"US dollar, Millions",2014,32105.7637
Payments based on input use,"US dollar, Millions",2015,29073.8082
Payments based on input use,"US dollar, Millions",2016,26476.9708
Payments based on input use,"US dollar, Millions",2017,26822.6889
Payments based on input use,"US dollar, Millions",2018,29538.0271
Payments based on input use,"US dollar, Millions",2019,28562.8501
Payments based on input use,"US dollar, Millions",2020,34505.4992
Payments based on input use,"US dollar, Millions",2021,29726.9299
Payments based on input use,"US dollar, Millions",2022,33276.8492
Payments based on input use,"US dollar, Millions",2023,37260.9256
Payments based on input use,"US dollar, Millions",2024,37271.7363
Payments based on input use,"National currency, Millions",2013,32969.5422
Payments based on input use,"National currency, Millions",2014,32105.7637
Payments based on input use,"National currency, Millions",2015,29073.8082
Payments based on input use,"National currency, Millions",2016,26476.9708
Payments based on input use,"National currency, Millions",2017,26822.6889
Payments based on input use,"National currency, Millions",2018,29538.0271
Payments based on input use,"National currency, Millions",2019,28562.8501
Payments based on input use,"National currency, Millions",2020,34505.4992
Payments based on input use,"National currency, Millions",2021,29726.9299
Payments based on input use,"National currency, Millions",2022,33276.8492
Payments based on input use,"National currency, Millions",2023,37260.9256
Payments based on input use,"National currency, Millions",2024,37271.7363
Based on variable input use,"Euro, Millions",2013,9727.6161
Based on variable input use,"Euro, Millions",2014,9610.2641
Based on variable input use,"Euro, Millions",2015,9975.1989
Based on variable input use,"Euro, Millions",2016,8720.0404
Based on variable input use,"Euro, Millions",2017,9204.1999
Based on variable input use,"Euro, Millions",2018,9211.7531
Based on variable input use,"Euro, Millions",2019,8866.933
Based on variable input use,"Euro, Millions",2020,13270.1459
Based on variable input use,"Euro, Millions",2021,9442.6395
Based on variable input use,"Euro, Millions",2022,12206.2785
Based on variable input use,"Euro, Millions",2023,12730.6824
Based on variable input use,"Euro, Millions",2024,12867.4865
Based on variable input use,"US dollar, Millions",2013,12919.4245
Based on variable input use,"US dollar, Millions",2014,12767.2467
Based on variable input use,"US dollar, Millions",2015,11067.617
Based on variable input use,"US dollar, Millions",2016,9652.2446
Based on variable input use,"US dollar, Millions",2017,10397.8056
Based on variable input use,"US dollar, Millions",2018,10878.6571
Based on variable input use,"US dollar, Millions",2019,9926.3083
Based on variable input use,"US dollar, Millions",2020,15157.1159
Based on variable input use,"US dollar, Millions",2021,11168.1922
Based on variable input use,"US dollar, Millions",2022,12853.8016
Based on variable input use,"US dollar, Millions",2023,13765.2809
Based on variable input use,"US dollar, Millions",2024,13927.5092
Based on variable input use,"National currency, Millions",2013,12919.4245
Based on variable input use,"National currency, Millions",2014,12767.2467
Based on variable input use,"National currency, Millions",2015,11067.617
Based on variable input use,"National currency, Millions",2016,9652.2446
Based on variable input use,"National currency, Millions",2017,10397.8056
Based on variable input use,"National currency, Millions",2018,10878.6571
Based on variable input use,"National currency, Millions",2019,9926.3083
Based on variable input use,"National currency, Millions",2020,15157.1159
Based on variable input use,"National currency, Millions",2021,11168.1922
Based on variable input use,"National currency, Millions",2022,12853.8016
Based on variable input use,"National currency, Millions",2023,13765.2809
Based on variable input use,"National currency, Millions",2024,13927.5092
With input constraints,"Euro, Millions",2013,2107.485
With input constraints,"Euro, Millions",2014,1565.1312
With input constraints,"Euro, Millions",2015,1448.8125
With input constraints,"Euro, Millions",2016,1071.3709
With input constraints,"Euro, Millions",2017,1230.3128
With input constraints,"Euro, Millions",2018,1104.7204
With input constraints,"Euro, Millions",2019,884.004
With input constraints,"Euro, Millions",2020,1013.5264
With input constraints,"Euro, Millions",2021,1111.3666
With input constraints,"Euro, Millions",2022,2423.6867
With input constraints,"Euro, Millions",2023,2353.8
With input constraints,"Euro, Millions",2024,2412.8057
With input constraints,"US dollar, Millions",2013,2798.9894
With input constraints,"US dollar, Millions",2014,2079.2786
With input constraints,"US dollar, Millions",2015,1607.4769
With input constraints,"US dollar, Millions",2016,1185.9044
With input constraints,"US dollar, Millions",2017,1389.8604
With input constraints,"US dollar, Millions",2018,1304.6241
With input constraints,"US dollar, Millions",2019,989.6202
With input constraints,"US dollar, Millions",2020,1157.6464
With input constraints,"US dollar, Millions",2021,1314.4583
With input constraints,"US dollar, Millions",2022,2552.2593
With input constraints,"US dollar, Millions",2023,2545.0889
With input constraints,"US dollar, Millions",2024,2611.5724
With input constraints,"National currency, Millions",2013,2798.9894
With input constraints,"National currency, Millions",2014,2079.2786
With input constraints,"National currency, Millions",2015,1607.4769
With input constraints,"National currency, Millions",2016,1185.9044
With input constraints,"National currency, Millions",2017,1389.8604
With input constraints,"National currency, Millions",2018,1304.6241
With input constraints,"National currency, Millions",2019,989.6202
With input constraints,"National currency, Millions",2020,1157.6464
With input constraints,"National currency, Millions",2021,1314.4583
With input constraints,"National currency, Millions",2022,2552.2593
With input constraints,"National currency, Millions",2023,2545.0889
With input constraints,"National currency, Millions",2024,2611.5724
Based on fixed capital formation,"Euro, Millions",2013,9549.6659
Based on fixed capital formation,"Euro, Millions",2014,8879.3665
Based on fixed capital formation,"Euro, Millions",2015,9788.4572
Based on fixed capital formation,"Euro, Millions",2016,8111.9597
Based on fixed capital formation,"Euro, Millions",2017,7992.0286
Based on fixed capital formation,"Euro, Millions",2018,9569.9684
Based on fixed capital formation,"Euro, Millions",2019,9499.9259
Based on fixed capital formation,"Euro, Millions",2020,9464.2226
Based on fixed capital formation,"Euro, Millions",2021,8032.9573
Based on fixed capital formation,"Euro, Millions",2022,9940.8298
Based on fixed capital formation,"Euro, Millions",2023,12542.9663
Based on fixed capital formation,"Euro, Millions",2024,12018.06
Based on fixed capital formation,"US dollar, Millions",2013,12683.0857
Based on fixed capital formation,"US dollar, Millions",2014,11796.2484
Based on fixed capital formation,"US dollar, Millions",2015,10860.4245
Based on fixed capital formation,"US dollar, Millions",2016,8979.1578
Based on fixed capital formation,"US dollar, Millions",2017,9028.4392
Based on fixed capital formation,"US dollar, Millions",2018,11301.6929
Based on fixed capital formation,"US dollar, Millions",2019,10634.928
Based on fixed capital formation,"US dollar, Millions",2020,10810.0031
Based on fixed capital formation,"US dollar, Millions",2021,9500.904
Based on fixed capital formation,"US dollar, Millions",2022,10468.1745
Based on fixed capital formation,"US dollar, Millions",2023,13562.3095
Based on fixed capital formation,"US dollar, Millions",2024,13008.107
Based on fixed capital formation,"National currency, Millions",2013,12683.0857
Based on fixed capital formation,"National currency, Millions",2014,11796.2484
Based on fixed capital formation,"National currency, Millions",2015,10860.4245
Based on fixed capital formation,"National currency, Millions",2016,8979.1578
Based on fixed capital formation,"National currency, Millions",2017,9028.4392
Based on fixed capital formation,"National currency, Millions",2018,11301.6929
Based on fixed capital formation,"National currency, Millions",2019,10634.928
Based on fixed capital formation,"National currency, Millions",2020,10810.0031
Based on fixed capital formation,"National currency, Millions",2021,9500.904
Based on fixed capital formation,"National currency, Millions",2022,10468.1745
Based on fixed capital formation,"National currency, Millions",2023,13562.3095
Based on fixed capital formation,"National currency, Millions",2024,13008.107
With input constraints,"Euro, Millions",2013,2075.5743
With input constraints,"Euro, Millions",2014,2113.8135
With input constraints,"Euro, Millions",2015,2434.5928
With input constraints,"Euro, Millions",2016,2399.7788
With input constraints,"Euro, Millions",2017,2214.8526
With input constraints,"Euro, Millions",2018,2416.9535
With input constraints,"Euro, Millions",2019,2036.4135
With input constraints,"Euro, Millions",2020,2031.7337
With input constraints,"Euro, Millions",2021,1865.8499
With input constraints,"Euro, Millions",2022,2098.159
With input constraints,"Euro, Millions",2023,3927.9092
With input constraints,"Euro, Millions",2024,3805.1441
With input constraints,"US dollar, Millions",2013,2756.6081
With input constraints,"US dollar, Millions",2014,2808.2036
With input constraints,"US dollar, Millions",2015,2701.2134
With input constraints,"US dollar, Millions",2016,2656.3239
With input constraints,"US dollar, Millions",2017,2502.0759
With input constraints,"US dollar, Millions",2018,2854.311
With input constraints,"US dollar, Millions",2019,2279.7136
With input constraints,"US dollar, Millions",2020,2320.6393
With input constraints,"US dollar, Millions",2021,2206.8163
With input constraints,"US dollar, Millions",2022,2209.4629
With input constraints,"US dollar, Millions",2023,4247.123
With input constraints,"US dollar, Millions",2024,4118.6117
With input constraints,"National currency, Millions",2013,2756.6081
With input constraints,"National currency, Millions",2014,2808.2036
With input constraints,"National currency, Millions",2015,2701.2134
With input constraints,"National currency, Millions",2016,2656.3239
With input constraints,"National currency, Millions",2017,2502.0759
With input constraints,"National currency, Millions",2018,2854.311
With input constraints,"National currency, Millions",2019,2279.7136
With input constraints,"National currency, Millions",2020,2320.6393
With input constraints,"National currency, Millions",2021,2206.8163
With input constraints,"National currency, Millions",2022,2209.4629
With input constraints,"National currency, Millions",2023,4247.123
With input constraints,"National currency, Millions",2024,4118.6117
Based on on-farm services,"Euro, Millions",2013,5546.9699
Based on on-farm services,"Euro, Millions",2014,5677.2768
Based on on-farm services,"Euro, Millions",2015,6440.4509
Based on on-farm services,"Euro, Millions",2016,7087.8513
Based on on-farm services,"Euro, Millions",2017,6547.3767
Based on on-farm services,"Euro, Millions",2018,6230.2823
Based on on-farm services,"Euro, Millions",2019,7147.6496
Based on on-farm services,"Euro, Millions",2020,7475.403
Based on on-farm services,"Euro, Millions",2021,7658.344
Based on on-farm services,"Euro, Millions",2022,9453.3865
Based on on-farm services,"Euro, Millions",2023,9186.7457
Based on on-farm services,"Euro, Millions",2024,9549.438
Based on on-farm services,"US dollar, Millions",2013,7367.032
Based on on-farm services,"US dollar, Millions",2014,7542.2687
Based on on-farm services,"US dollar, Millions",2015,7145.7666
Based on on-farm services,"US dollar, Millions",2016,7845.5685
Based on on-farm services,"US dollar, Millions",2017,7396.4441
Based on on-farm services,"US dollar, Millions",2018,7357.6771
Based on on-farm services,"US dollar, Millions",2019,8001.6138
Based on on-farm services,"US dollar, Millions",2020,8538.3801
Based on on-farm services,"US dollar, Millions",2021,9057.8337
Based on on-farm services,"US dollar, Millions",2022,9954.8732
Based on on-farm services,"US dollar, Millions",2023,9933.3351
Based on on-farm services,"US dollar, Millions",2024,10336.1201
Based on on-farm services,"National currency, Millions",2013,7367.032
Based on on-farm services,"National currency, Millions",2014,7542.2687
Based on on-farm services,"National currency, Millions",2015,7145.7666
Based on on-farm services,"National currency, Millions",2016,7845.5685
Based on on-farm services,"National currency, Millions",2017,7396.4441
Based on on-farm services,"National currency, Millions",2018,7357.6771
Based on on-farm services,"National currency, Millions",2019,8001.6138
Based on on-farm services,"National currency, Millions",2020,8538.3801
Based on on-farm services,"National currency, Millions",2021,9057.8337
Based on on-farm services,"National currency, Millions",2022,9954.8732
Based on on-farm services,"National currency, Millions",2023,9933.3351
Based on on-farm services,"National currency, Millions",2024,10336.1201
With input constraints,"Euro, Millions",2013,961.9584
With input constraints,"Euro, Millions",2014,1067.4734
With input constraints,"Euro, Millions",2015,1123.8945
With input constraints,"Euro, Millions",2016,1367.217
With input constraints,"Euro, Millions",2017,1358.2093
With input constraints,"Euro, Millions",2018,1341.6793
With input constraints,"Euro, Millions",2019,1381.3255
With input constraints,"Euro, Millions",2020,1544.8436
With input constraints,"Euro, Millions",2021,1612.1231
With input constraints,"Euro, Millions",2022,1938.1389
With input constraints,"Euro, Millions",2023,2019.8842
With input constraints,"Euro, Millions",2024,2013.1295
With input constraints,"US dollar, Millions",2013,1277.5945
With input constraints,"US dollar, Millions",2014,1418.1396
With input constraints,"US dollar, Millions",2015,1246.976
With input constraints,"US dollar, Millions",2016,1513.3775
With input constraints,"US dollar, Millions",2017,1534.3427
With input constraints,"US dollar, Millions",2018,1584.4616
With input constraints,"US dollar, Millions",2019,1546.3591
With input constraints,"US dollar, Millions",2020,1764.5151
With input constraints,"US dollar, Millions",2021,1906.7233
With input constraints,"US dollar, Millions",2022,2040.954
With input constraints,"US dollar, Millions",2023,2184.0364
With input constraints,"US dollar, Millions",2024,2178.9709
With input constraints,"National currency, Millions",2013,1277.5945
With input constraints,"National currency, Millions",2014,1418.1396
With input constraints,"National currency, Millions",2015,1246.976
With input constraints,"National currency, Millions",2016,1513.3775
With input constraints,"National currency, Millions",2017,1534.3427
With input constraints,"National currency, Millions",2018,1584.4616
With input constraints,"National currency, Millions",2019,1546.3591
With input constraints,"National currency, Millions",2020,1764.5151
With input constraints,"National currency, Millions",2021,1906.7233
With input constraints,"National currency, Millions",2022,2040.954
With input constraints,"National currency, Millions",2023,2184.0364
With input constraints,"National currency, Millions",2024,2178.9709
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2013,27557.9153
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2014,23779.8541
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2015,29004.5463
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2016,30406.8616
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2017,31456.8944
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2018,31420.7429
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2019,45375.3703
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2020,39737.566
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2021,50820.0439
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2022,49433.3293
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2023,49956.3336
"Payments based on current area planted / animal numbers / receipts / income, production required","Euro, Millions",2024,48518.884
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2013,36600.1704
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2014,31591.5631
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2015,32180.9331
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2016,33657.466
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2017,35536.2417
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2018,37106.4534
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2019,50796.585
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2020,45388.1139
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2021,60106.9243
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2022,52055.6866
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2023,54016.1905
"Payments based on current area planted / animal numbers / receipts / income, production required","US dollar, Millions",2024,52515.8666
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2013,36600.1704
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2014,31591.5631
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2015,32180.9331
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2016,33657.466
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2017,35536.2417
"Payments based on current area planted / animal numbers / receipts / income, production required","National currency, Millions",2018,37106.4534
